id,edad,comuna,estrato,genero,gpoblacional,nivel_educativo,e_ingresos,e_sustento,e_talento,e_problematica,e_pasion,e_investigativo,aprendizaje_activo,creatividad_originalidad,pensamiento_alto,resolucion_problemas,liderazgo,gestion_tiempo,inteligencia_emoc,diseno_tecnologico,destrezas_manuales,gestion_finanzas,pensamiento_analitico,habilidades_visuales,fort_habillidades,toma_decisiones,ano_inicio,prim_emprend,bien_servicio,desc_bien,desarrollo_empren,rol,ingresos_sostenimiento,personas_empren,remuneracion,legal_vigente,tendencia,financiamiento,abandono,motivo_a,formalizacion,innovacion,presentacion_inn,sostenibilidad_ambiental,herramientas_tecnol,tecnologia,redes_sociales,apoyo_institucional,articulacion,acercamiento,ecosistema_emprendedor
1,21,Comuna 11- Laureles Estadio,5,Mujer,Ninguno de los anteriores,Pregrado en curso,7,6,6,6,6,2,5,7,6,6,6,6,6,5,5,5,5,5,"Creatividad, originalidad e iniciativa, Resolucion de problemas, Gestion de las finanzas",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Bien,vendemos lasanas y empanadas ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo",Son relativamente importantes en los ingresos del hogar,1 a 5 personas,Si,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,No,,Ninguno de los anteriores,Si,Las caracteristicas del bien/servicio que ofreces,No,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,5
2,28,Comuna 9-Buenos Aires,3,Mujer,Ninguno de los anteriores,Posgrado,7,5,5,4,7,0,6,6,6,6,6,6,6,7,7,6,6,6,"Resolucion de problemas, Gestion de las finanzas, Habilidades visuales y discursivas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Bien,Dulces,Idea,,,,,,,,,,,No,,No,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,4
3,26,Corregimiento San Antonio de Prado,3,Mujer,Ninguno de los anteriores,Tecnologia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Aprendizaje activo y estrategico, Liderazgo, Gestion de las finanzas",Relativamente comodo,2017,"Si, es mi primer emprendimiento",Ambos,Administracion de software ,Produccion y comercializacion,Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos,No son una fuente determinante de los ingresos del hogar,1 a 5 personas,Algunas de ellas reciben remuneracion,Entre 2 y 3 SMMLV,Demanda de servicios,Ahorros personales,No,,"Registro unico Tributario (RUT), Numero de Identificacion Tributaria (NIT), Matricula de Industria y Comercio, Registro Mercantil",Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,4
4,20,Comuna 12- La America,4,Mujer,Ninguno de los anteriores,Pregrado en curso,6,2,3,1,3,2,7,5,7,7,7,6,4,2,5,6,6,6,"Creatividad, originalidad e iniciativa, Inteligencia emocional, Gestion de las finanzas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Bien,Vendo ropa interior y lenceria para mujeres fabricada por mujeres de la ciudad (Medellin),Produccion y comercializacion,"Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",No son una fuente determinante de los ingresos del hogar,1 a 3 personas,Si,Menos de 1 SMMLV,La cantidad obedece a los recursos disponibles para invertir en produccion,Ahorros personales,No,,Ninguno de los anteriores,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",No,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,Si,"Formacion de red o equipo articulado, Cooperacion",4
5,25,Comuna 6- Doce de Octubre,2,Mujer,Ninguno de los anteriores,Pregrado en curso,5,5,6,6,6,7,4,6,4,5,6,7,7,7,5,6,6,6,"Liderazgo, Diseno tecnologico y programacion, Habilidades visuales y discursivas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Ambos,"piel de verano, es un emprendimiento de vestidos de bano, para tallas curvy ",Produccion y comercializacion,"Proveer materias primas e insumos a otros emprendimientos, Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",No son una fuente determinante de los ingresos del hogar,1 a 3 personas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,La cantidad obedece a los recursos disponibles para invertir en produccion,Ahorros personales,No,,Ninguno de los anteriores,Si,No lo se,Si,Si,"Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Formacion,No,,4
6,26,Comuna 13-San Javier,3,Hombre,Ninguno de los anteriores,Tecnologia en curso,7,7,6,7,7,7,7,5,6,7,7,7,5,5,1,2,7,1,"Diseno tecnologico y programacion, Gestion de las finanzas, Pensamiento analitico e innovacion",Muy comodo,2020,"Si, es mi primer emprendimiento",Servicio,Digitalizar todo el inventario de un establecimiento y tener esta informacion en la nube y actualizada para que el dueno pueda tener un mayor control de sus locales y con toda esta informacion poder tomar decisiones oportunas y acertadas ya sea dese su celular o una pagina web y despues con el tiempo agregarle mas servicios al proyecto en pro de la mejora del comercio en la ciudad ,Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, El nivel de estabilidad que tiene el servicio ",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea",Por el momento ninguna al estar solo desarollando la idea pero cuanto el servicio se muestre obviamente se usaran todas ,Ninguna,No,,4
7,19,Comuna 15-Guayabal,4,Hombre,Ninguno de los anteriores,Pregrado en curso,5,1,5,3,7,7,7,6,6,7,7,5,7,5,4,7,7,6,"Gestion del tiempo y coordinacion, Inteligencia emocional, Habilidades visuales y discursivas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Bien,Comercio de empaques para empresas de alimentos y restaurantes ,Produccion y comercializacion,Distribuir y llevar el producto al cliente para su consumo,No son una fuente determinante de los ingresos del hogar,No hay personas adicionales involucradas,No,Mas de 4 SMMLV,La produccion es constante durante el ano,Credito con entidades financieras,No,,"Registro unico Tributario (RUT), Numero de Identificacion Tributaria (NIT), Matricula de Industria y Comercio, Registro Mercantil, Informar a la oficina de planeacion municipal sobre el inicio de actividades",No,,Si,No,,"Facebook, Instagram, Whatsapp",Ninguna,Si,Cooperacion,6
8,19,Comuna 7-Robledo,1,Hombre,Ninguno de los anteriores,Tecnologia en curso,5,3,7,5,7,7,7,7,5,7,6,5,7,6,5,7,7,7,"Pensamiento critico, Gestion del tiempo y coordinacion, Diseno tecnologico y programacion",Muy comodo,2018,"Si, es mi primer emprendimiento",Servicio,Produccion de medios audiovisuales y musicales con enfoque digital ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",Son relativamente importantes en los ingresos del hogar,1 a 5 personas,Si,Entre 1 y 2 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Ahorros personales, Apoyo de familiares, amigos u otros.",Si,Problemas financieros,Registro unico Tributario (RUT),Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",6
9,22,Comuna 6- Doce de Octubre,3,Hombre,Ninguno de los anteriores,Pregrado en curso,7,5,7,5,7,4,5,5,5,5,7,6,6,5,5,4,5,7,"Aprendizaje activo y estrategico, Diseno tecnologico y programacion, Destrezas manuales, resistencia y precision",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Ambos,Semillas y cursos de cultivo.,Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, La forma en que el bien/servicio es promocionado y vendido, La manera de llegar al mercado mediante desarrollo web, desarollo Android, marketing digital, data science",Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Twitter, Instagram, Whatsapp, Youtube",Ninguna,Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",6
10,24,Corregimiento San Antonio de Prado,3,Hombre,Ninguno de los anteriores,Pregrado,7,6,6,3,7,2,7,7,6,6,6,6,4,5,6,7,6,7,"Inteligencia emocional, Diseno tecnologico y programacion, Pensamiento analitico e innovacion",Poco comodo,2020,"Si, es mi primer emprendimiento",Servicio,Ventas de productos por redes sociales e internet.,Produccion y comercializacion,Promocionar y publicitar el producto para fomentar su venta,Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Si,Entre 1 y 2 SMMLV,La produccion es constante durante el ano,"Ahorros personales, Ahorros familiares, Apoyo de familiares, amigos u otros.",No,,Registro unico Tributario (RUT),Si,La forma en que el bien/servicio es promocionado y vendido,No lo se,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,5
